Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Year
Chiefs,"$20,232,200 ","$8,036,819 ","$16,078,663 ","$4,923,789 ","$14,976,072 ","$64,247,543 ","$17,326,136 ","$21,124,929 ","$7,381,104 ","$15,661,151 ","$5,252,667 ","$66,745,987 ",2016
Titans,"$7,534,058 ","$7,603,960 ","$14,852,328 ","$10,992,080 ","$21,398,613 ","$62,381,039 ","$15,355,883 ","$17,193,846 ","$8,042,363 ","$10,382,798 ","$13,084,964 ","$64,059,854 ",2016
Texans,"$14,412,646 ","$7,911,734 ","$6,448,981 ","$2,062,362 ","$31,103,538 ","$61,939,261 ","$22,938,450 ","$14,197,538 ","$14,400,101 ","$5,327,548 ","$19,939,515 ","$76,803,152 ",2016
Dolphins,"$13,281,182 ","$1,974,686 ","$6,367,688 ","$11,317,299 ","$28,834,646 ","$61,775,501 ","$17,479,805 ","$24,908,290 ","$8,873,417 ","$11,884,805 ","$12,949,485 ","$76,095,802 ",2016
49ers,"$23,694,507 ","$3,028,926 ","$11,876,072 ","$5,615,042 ","$16,923,639 ","$61,138,186 ","$9,996,826 ","$13,678,890 ","$16,215,848 ","$10,807,904 ","$9,075,198 ","$59,774,666 ",2016
Bills,"$10,286,322 ","$10,305,929 ","$12,971,463 ","$7,994,746 ","$19,315,114 ","$60,873,574 ","$22,682,421 ","$11,436,205 ","$4,326,517 ","$14,367,753 ","$15,208,647 ","$68,021,543 ",2016
Rams,"$9,453,311 ","$6,684,248 ","$16,984,504 ","$7,779,092 ","$18,948,473 ","$59,849,628 ","$12,337,912 ","$22,337,341 ","$9,904,864 ","$6,193,434 ","$14,857,989 ","$65,631,540 ",2016
Seahawks,"$18,997,000 ","$2,236,171 ","$13,750,952 ","$12,684,653 ","$6,307,577 ","$53,976,353 ","$5,661,793 ","$17,312,549 ","$15,426,110 ","$17,920,176 ","$20,642,727 ","$76,963,355 ",2016
Saints,"$18,617,300 ","$4,961,190 ","$5,224,319 ","$5,726,719 ","$19,176,356 ","$53,705,884 ","$5,140,464 ","$9,660,901 ","$9,598,215 ","$16,579,686 ","$4,828,050 ","$45,807,316 ",2016
Broncos,"$2,261,161 ","$7,652,724 ","$24,631,438 ","$4,002,548 ","$14,289,846 ","$52,837,717 ","$14,874,328 ","$22,787,306 ","$6,341,732 ","$11,486,444 ","$22,329,018 ","$77,818,828 ",2016
Browns,"$11,022,385 ","$2,873,269 ","$8,060,225 ","$3,663,632 ","$20,849,784 ","$46,469,295 ","$11,120,534 ","$1,500,998 ","$6,626,100 ","$2,503,713 ","$23,427,666 ","$45,179,011 ",2016
Steelers,"$21,004,781 ","$13,113,454 ","$17,778,997 ","$3,945,253 ","$39,055,012 ","$94,897,497 ","$15,833,947 ","$8,183,830 ","$6,906,583 ","$12,475,138 ","$11,466,541 ","$54,866,039 ",2017
Raiders,"$17,066,663 ","$3,913,937 ","$21,228,435 ","$8,513,978 ","$43,133,182 ","$93,856,195 ","$4,925,768 ","$16,020,328 ","$3,913,692 ","$11,365,174 ","$22,873,492 ","$59,098,454 ",2017
Falcons,"$27,422,800 ","$5,928,217 ","$28,103,286 ","$4,019,531 ","$25,953,036 ","$91,426,870 ","$11,309,437 ","$18,256,298 ","$8,512,929 ","$6,556,132 ","$15,535,401 ","$60,170,197 ",2017
Commanders,"$27,543,600 ","$4,474,359 ","$10,894,949 ","$11,840,649 ","$34,757,110 ","$89,510,667 ","$12,451,986 ","$17,002,208 ","$8,198,492 ","$6,606,862 ","$24,425,407 ","$68,684,955 ",2017
Cardinals,"$29,489,118 ","$3,666,976 ","$20,439,056 ","$6,097,469 ","$28,917,997 ","$88,610,616 ","$11,978,095 ","$14,486,303 ","$6,172,044 ","$15,728,455 ","$21,047,533 ","$69,412,430 ",2017
Packers,"$21,034,437 ","$2,394,382 ","$31,564,129 ","$3,754,657 ","$28,553,585 ","$87,301,190 ","$14,712,089 ","$26,170,012 ","$2,563,395 ","$11,727,962 ","$9,272,758 ","$64,446,216 ",2017
Eagles,"$7,948,686 ","$7,712,155 ","$20,433,394 ","$10,106,000 ","$34,671,590 ","$80,871,825 ","$14,920,141 ","$21,800,072 ","$14,705,805 ","$14,776,850 ","$4,361,412 ","$70,564,280 ",2017
Bears,"$21,278,625 ","$2,385,295 ","$14,645,439 ","$10,633,090 ","$31,878,770 ","$80,821,219 ","$14,795,376 ","$16,993,112 ","$11,977,212 ","$7,234,912 ","$17,788,027 ","$68,788,639 ",2017
Panthers,"$22,710,632 ","$11,316,345 ","$7,593,965 ","$15,861,068 ","$22,836,833 ","$80,318,843 ","$19,975,799 ","$14,930,437 ","$27,237,850 ","$7,693,071 ","$6,607,630 ","$76,444,787 ",2017
Saints,"$20,365,000 ","$6,649,958 ","$7,172,234 ","$13,281,931 ","$32,749,192 ","$80,218,315 ","$7,351,727 ","$15,826,140 ","$11,368,168 ","$9,465,615 ","$5,035,764 ","$49,047,414 ",2017
Patriots,"$14,476,471 ","$11,010,522 ","$18,838,336 ","$12,917,262 ","$22,196,744 ","$79,439,335 ","$10,484,357 ","$5,229,052 ","$13,278,110 ","$23,735,041 ","$16,603,309 ","$69,329,869 ",2017
Dolphins,"$33,058,282 ","$3,310,080 ","$9,776,316 ","$9,519,411 ","$22,688,764 ","$78,352,853 ","$21,338,272 ","$20,091,185 ","$11,883,805 ","$11,301,524 ","$5,758,889 ","$70,373,675 ",2017
Ravens,"$26,742,000 ","$5,270,289 ","$16,212,624 ","$5,393,387 ","$23,346,656 ","$76,964,956 ","$8,142,163 ","$11,289,373 ","$5,332,555 ","$12,619,611 ","$15,031,988 ","$52,415,690 ",2017
Cowboys,"$1,782,314 ","$7,879,602 ","$26,062,634 ","$16,565,097 ","$23,737,956 ","$76,027,603 ","$4,846,639 ","$17,309,055 ","$13,571,954 ","$3,098,994 ","$10,844,663 ","$49,671,305 ",2017
Bengals,"$16,798,413 ","$7,569,296 ","$24,430,688 ","$9,413,806 ","$17,262,341 ","$75,474,544 ","$12,361,126 ","$14,384,255 ","$17,613,896 ","$10,969,118 ","$22,900,422 ","$78,228,817 ",2017
Chargers,"$19,155,000 ","$5,059,879 ","$20,577,484 ","$8,986,982 ","$21,498,674 ","$75,278,019 ","$17,068,671 ","$23,167,189 ","$5,864,393 ","$6,553,828 ","$9,329,846 ","$61,983,927 ",2017
Bills,"$10,238,211 ","$11,190,118 ","$6,496,909 ","$11,467,859 ","$35,796,366 ","$75,189,463 ","$10,325,927 ","$13,718,331 ","$7,077,973 ","$7,686,153 ","$5,801,497 ","$44,609,881 ",2017
Colts,"$22,129,791 ","$6,704,574 ","$15,603,598 ","$10,039,875 ","$20,295,961 ","$74,773,799 ","$14,868,181 ","$21,252,770 ","$3,079,205 ","$7,567,614 ","$4,398,800 ","$51,166,570 ",2017
Lions,"$17,047,200 ","$5,553,764 ","$18,671,297 ","$5,529,031 ","$22,993,789 ","$69,795,081 ","$15,087,353 ","$14,892,449 ","$12,040,537 ","$11,021,745 ","$17,917,711 ","$70,959,795 ",2017
Giants,"$21,444,105 ","$6,846,041 ","$14,572,454 ","$4,806,305 ","$21,971,246 ","$69,640,151 ","$13,231,093 ","$26,432,590 ","$11,922,152 ","$3,870,386 ","$27,976,841 ","$83,433,062 ",2017
Jaguars,"$10,071,983 ","$13,724,506 ","$13,512,773 ","$7,480,525 ","$23,902,263 ","$68,692,050 ","$36,897,369 ","$8,251,178 ","$13,216,415 ","$15,958,866 ","$13,849,553 ","$88,173,381 ",2017
Texans,"$3,855,907 ","$9,441,681 ","$22,653,336 ","$10,632,622 ","$20,476,207 ","$67,059,753 ","$17,826,431 ","$14,975,844 ","$9,833,223 ","$10,598,898 ","$21,425,963 ","$74,660,359 ",2017
Vikings,"$22,523,284 ","$6,109,029 ","$10,830,686 ","$7,988,864 ","$19,431,712 ","$66,883,575 ","$13,847,877 ","$15,647,606 ","$10,635,653 ","$11,466,277 ","$21,360,634 ","$72,958,047 ",2017
Buccaneers,"$11,738,985 ","$8,969,129 ","$18,804,531 ","$3,178,912 ","$23,495,847 ","$66,187,404 ","$30,220,786 ","$9,762,983 ","$8,819,460 ","$8,500,031 ","$17,764,740 ","$75,068,000 ",2017
Chiefs,"$21,205,288 ","$4,243,728 ","$5,474,701 ","$7,192,941 ","$25,611,612 ","$63,728,270 ","$16,972,578 ","$35,949,428 ","$6,576,004 ","$14,053,421 ","$6,828,257 ","$80,379,688 ",2017
Broncos,"$3,920,973 ","$6,090,264 ","$25,054,318 ","$4,832,368 ","$23,704,519 ","$63,602,442 ","$18,109,284 ","$23,398,406 ","$9,388,589 ","$8,775,903 ","$24,273,641 ","$83,945,823 ",2017
Rams,"$7,755,133 ","$6,953,354 ","$25,219,237 ","$3,237,501 ","$20,306,285 ","$63,471,510 ","$19,055,848 ","$15,841,769 ","$17,897,035 ","$5,194,177 ","$22,147,687 ","$80,136,516 ",2017
Seahawks,"$15,443,870 ","$5,565,665 ","$8,724,467 ","$12,553,573 ","$21,118,436 ","$63,406,011 ","$9,895,825 ","$19,887,433 ","$18,261,753 ","$20,890,487 ","$23,142,234 ","$92,077,732 ",2017
Titans,"$10,351,646 ","$8,746,428 ","$19,514,493 ","$7,486,458 ","$17,127,063 ","$63,226,088 ","$20,991,161 ","$23,008,834 ","$9,206,570 ","$13,657,831 ","$15,276,846 ","$82,141,242 ",2017
Jets,"$8,334,184 ","$10,310,192 ","$8,058,956 ","$2,443,262 ","$29,743,163 ","$58,889,757 ","$30,004,586 ","$5,244,382 ","$5,963,101 ","$6,921,694 ","$16,360,022 ","$64,493,785 ",2017
Browns,"$2,209,957 ","$4,470,494 ","$5,198,547 ","$3,254,760 ","$41,615,803 ","$56,749,561 ","$5,528,898 ","$9,198,852 ","$21,613,135 ","$3,882,857 ","$7,163,759 ","$47,387,501 ",2017
49ers,"$1,280,189 ","$2,825,514 ","$13,826,473 ","$3,831,656 ","$25,604,947 ","$47,368,779 ","$8,811,687 ","$17,957,489 ","$8,945,957 ","$9,535,769 ","$6,441,770 ","$51,692,672 ",2017
49ers,"$38,197,259 ","$8,311,842 ","$18,448,916 ","$3,643,398 ","$33,769,652 ","$102,371,067 ","$10,033,146 ","$16,528,345 ","$8,852,841 ","$3,207,934 ","$18,947,503 ","$57,569,769 ",2018
Raiders,"$25,915,200 ","$7,694,424 ","$18,652,510 ","$11,533,431 ","$36,376,204 ","$100,171,769 ","$11,861,506 ","$2,352,299 ","$10,206,380 ","$11,068,824 ","$11,492,532 ","$46,981,541 ",2018
Falcons,"$22,329,200 ","$7,325,063 ","$24,432,270 ","$2,433,131 ","$40,262,172 ","$96,781,836 ","$6,021,602 ","$11,943,939 ","$8,581,239 ","$9,445,802 ","$26,512,595 ","$62,505,177 ",2018
Packers,"$22,071,928 ","$1,581,868 ","$26,709,607 ","$10,835,666 ","$33,058,976 ","$94,258,045 ","$19,391,088 ","$23,692,894 ","$4,603,006 ","$2,949,361 ","$10,277,116 ","$60,913,465 ",2018
Commanders,"$22,370,588 ","$6,464,791 ","$11,550,945 ","$16,639,653 ","$35,598,047 ","$92,624,024 ","$11,918,322 ","$17,481,245 ","$6,801,489 ","$5,638,443 ","$21,140,054 ","$62,979,553 ",2018
Browns,"$24,442,360 ","$5,651,728 ","$19,436,865 ","$7,333,699 ","$34,889,282 ","$91,753,934 ","$2,692,766 ","$13,837,156 ","$21,595,019 ","$5,640,141 ","$18,933,305 ","$62,698,387 ",2018
Saints,"$26,852,600 ","$7,093,841 ","$12,859,196 ","$7,775,068 ","$35,725,330 ","$90,306,035 ","$7,215,630 ","$20,379,299 ","$14,765,854 ","$7,798,629 ","$8,475,586 ","$58,634,998 ",2018
Chargers,"$23,129,200 ","$4,755,413 ","$25,433,190 ","$7,068,484 ","$27,984,393 ","$88,370,680 ","$14,590,006 ","$22,744,570 ","$6,339,835 ","$10,693,090 ","$17,921,985 ","$72,289,486 ",2018
Colts,"$25,722,676 ","$2,083,712 ","$20,549,797 ","$13,375,573 ","$25,098,865 ","$86,830,623 ","$11,406,297 ","$12,518,570 ","$3,849,218 ","$6,461,829 ","$5,307,934 ","$39,543,848 ",2018
Vikings,"$26,462,000 ","$8,510,220 ","$15,333,845 ","$9,592,122 ","$26,668,316 ","$86,566,503 ","$18,526,098 ","$18,610,741 ","$18,490,720 ","$15,731,056 ","$22,554,099 ","$93,912,714 ",2018
Buccaneers,"$12,616,903 ","$3,981,361 ","$34,124,743 ","$10,224,401 ","$25,173,502 ","$86,120,910 ","$30,935,514 ","$21,624,467 ","$14,813,639 ","$6,026,118 ","$15,212,917 ","$88,612,655 ",2018
Eagles,"$21,505,365 ","$5,143,228 ","$16,761,079 ","$7,215,415 ","$35,461,396 ","$86,086,483 ","$19,610,353 ","$20,521,371 ","$7,463,300 ","$16,905,015 ","$5,420,767 ","$69,920,806 ",2018
Patriots,"$23,044,200 ","$7,894,058 ","$15,575,488 ","$16,740,476 ","$20,349,864 ","$83,604,086 ","$8,841,997 ","$12,784,037 ","$12,418,619 ","$22,783,881 ","$15,107,401 ","$71,935,935 ",2018
Panthers,"$22,245,471 ","$6,826,065 ","$12,594,544 ","$9,312,292 ","$32,444,025 ","$83,422,397 ","$25,938,492 ","$15,594,755 ","$18,109,544 ","$8,525,314 ","$10,046,763 ","$78,214,868 ",2018
Bears,"$10,598,281 ","$2,865,819 ","$26,134,139 ","$16,862,132 ","$25,838,059 ","$82,298,430 ","$16,269,909 ","$26,108,093 ","$12,062,109 ","$4,184,476 ","$18,514,959 ","$77,139,546 ",2018
Bengals,"$17,198,153 ","$6,168,245 ","$22,333,466 ","$9,109,741 ","$26,761,854 ","$81,571,459 ","$17,980,043 ","$21,586,114 ","$18,408,108 ","$6,721,891 ","$22,735,864 ","$87,432,020 ",2018
Steelers,"$24,607,847 ","$1,545,560 ","$13,094,252 ","$5,891,394 ","$35,090,781 ","$80,229,834 ","$18,570,996 ","$7,627,086 ","$15,162,163 ","$7,577,505 ","$18,261,233 ","$67,198,983 ",2018
Jets,"$15,760,757 ","$8,070,717 ","$13,044,099 ","$3,861,826 ","$36,847,212 ","$77,584,611 ","$16,336,478 ","$5,967,157 ","$11,918,348 ","$10,941,303 ","$27,956,260 ","$73,119,546 ",2018
Lions,"$27,560,000 ","$7,708,425 ","$10,261,176 ","$4,771,517 ","$26,454,707 ","$76,755,825 ","$6,088,251 ","$19,866,349 ","$13,152,062 ","$13,868,343 ","$12,942,767 ","$65,917,772 ",2018
Seahawks,"$24,620,964 ","$4,655,724 ","$20,229,810 ","$3,273,982 ","$23,349,614 ","$76,130,094 ","$5,451,644 ","$5,314,490 ","$26,759,580 ","$26,285,750 ","$7,339,007 ","$71,150,471 ",2018
Dolphins,"$10,507,195 ","$4,122,610 ","$25,766,603 ","$4,425,226 ","$30,559,407 ","$75,381,041 ","$5,156,706 ","$38,276,611 ","$14,286,351 ","$13,320,269 ","$3,678,898 ","$74,718,835 ",2018
Jaguars,"$10,786,333 ","$12,425,774 ","$17,287,457 ","$4,822,038 ","$28,024,882 ","$73,346,484 ","$49,441,021 ","$1,915,141 ","$11,985,485 ","$11,226,426 ","$27,090,280 ","$101,658,353 ",2018
Cowboys,"$1,816,903 ","$7,705,768 ","$17,811,897 ","$2,372,304 ","$43,159,686 ","$72,866,558 ","$5,600,665 ","$30,183,328 ","$18,325,353 ","$4,718,347 ","$5,642,991 ","$64,470,684 ",2018
Chiefs,"$6,462,373 ","$3,839,568 ","$13,410,657 ","$12,846,159 ","$35,054,355 ","$71,613,112 ","$13,806,414 ","$30,874,001 ","$6,439,413 ","$20,988,021 ","$5,449,388 ","$77,557,237 ",2018
Giants,"$23,411,925 ","$11,329,128 ","$12,265,128 ","$7,070,209 ","$16,351,639 ","$70,428,029 ","$6,466,608 ","$23,401,317 ","$7,366,336 ","$5,267,371 ","$13,155,011 ","$55,656,643 ",2018
Ravens,"$27,572,118 ","$3,363,334 ","$12,886,087 ","$4,763,673 ","$21,740,115 ","$70,325,327 ","$9,730,013 ","$11,748,483 ","$10,994,045 ","$16,441,962 ","$26,734,432 ","$75,648,935 ",2018
Titans,"$9,704,446 ","$6,578,378 ","$8,480,482 ","$11,782,366 ","$33,732,729 ","$70,278,401 ","$26,799,400 ","$19,778,901 ","$12,351,575 ","$11,696,707 ","$20,975,177 ","$91,601,760 ",2018
Broncos,"$15,706,000 ","$1,963,621 ","$14,510,892 ","$2,980,830 ","$27,685,340 ","$62,846,683 ","$19,610,747 ","$22,060,696 ","$13,626,497 ","$8,651,558 ","$23,101,585 ","$87,051,083 ",2018
Rams,"$8,767,592 ","$9,038,320 ","$14,151,679 ","$2,758,153 ","$27,763,882 ","$62,479,626 ","$39,110,096 ","$5,284,312 ","$10,912,796 ","$13,578,223 ","$20,726,753 ","$89,612,180 ",2018
Texans,"$4,498,746 ","$8,781,571 ","$22,937,792 ","$3,958,681 ","$21,831,728 ","$62,008,518 ","$19,458,959 ","$20,876,470 ","$10,503,200 ","$11,881,679 ","$32,029,767 ","$94,750,075 ",2018
Cardinals,"$5,229,993 ","$6,642,019 ","$21,383,544 ","$8,338,914 ","$16,580,007 ","$58,174,477 ","$6,574,896 ","$22,609,536 ","$12,827,408 ","$8,859,951 ","$16,131,635 ","$67,003,426 ",2018
Bills,"$4,972,932 ","$12,700,103 ","$3,135,006 ","$10,226,000 ","$13,535,618 ","$44,569,659 ","$13,874,163 ","$18,752,548 ","$8,735,891 ","$12,472,941 ","$7,366,816 ","$61,202,359 ",2018
Packers,"$30,060,000 ","$2,275,911 ","$16,313,123 ","$16,508,239 ","$45,779,795 ","$110,937,068 ","$8,776,062 ","$18,915,217 ","$4,713,346 ","$8,930,462 ","$13,575,522 ","$54,910,609 ",2019
Buccaneers,"$23,770,750 ","$5,056,256 ","$21,803,199 ","$11,313,773 ","$42,981,228 ","$104,925,206 ","$21,184,145 ","$18,583,642 ","$17,521,770 ","$5,355,326 ","$4,962,631 ","$67,607,514 ",2019
Chargers,"$27,064,655 ","$6,477,550 ","$23,608,026 ","$7,014,216 ","$37,523,591 ","$101,688,038 ","$8,892,283 ","$29,172,771 ","$11,889,408 ","$7,265,608 ","$12,377,117 ","$69,597,187 ",2019
Commanders,"$29,974,202 ","$8,218,621 ","$9,962,196 ","$17,664,279 ","$32,197,919 ","$98,017,217 ","$11,134,561 ","$18,408,787 ","$3,849,469 ","$7,558,867 ","$22,689,383 ","$63,641,067 ",2019
Bengals,"$17,389,080 ","$7,753,530 ","$28,740,271 ","$10,882,654 ","$32,697,458 ","$97,462,993 ","$18,381,875 ","$13,617,308 ","$4,597,140 ","$7,071,863 ","$23,542,739 ","$67,210,925 ",2019
Raiders,"$25,688,481 ","$8,002,165 ","$14,399,349 ","$5,767,514 ","$40,914,105 ","$94,771,614 ","$5,970,975 ","$10,718,493 ","$8,512,658 ","$19,976,408 ","$9,652,415 ","$54,830,949 ",2019
Browns,"$11,826,075 ","$3,404,034 ","$35,727,967 ","$6,562,380 ","$36,723,539 ","$94,243,995 ","$11,397,361 ","$24,112,662 ","$14,396,593 ","$15,255,977 ","$21,268,697 ","$86,431,290 ",2019
Saints,"$26,595,000 ","$3,756,693 ","$13,051,443 ","$6,502,176 ","$42,560,951 ","$92,466,263 ","$10,807,620 ","$14,664,025 ","$20,311,789 ","$4,190,537 ","$16,638,197 ","$66,612,168 ",2019
Cowboys,"$2,903,516 ","$7,258,235 ","$23,195,205 ","$6,115,957 ","$52,928,659 ","$92,401,572 ","$16,270,733 ","$24,047,890 ","$14,935,984 ","$5,626,954 ","$11,759,970 ","$72,641,531 ",2019
49ers,"$21,532,358 ","$12,516,472 ","$15,349,829 ","$4,258,221 ","$37,558,398 ","$91,215,278 ","$7,219,127 ","$39,706,057 ","$15,326,818 ","$10,736,568 ","$16,769,419 ","$89,757,989 ",2019
Titans,"$23,283,000 ","$7,319,205 ","$16,140,089 ","$8,786,988 ","$34,514,326 ","$90,043,608 ","$25,607,015 ","$8,743,596 ","$10,915,774 ","$8,433,793 ","$30,531,666 ","$84,231,844 ",2019
Colts,"$11,793,235 ","$2,907,359 ","$31,309,352 ","$14,444,000 ","$29,040,221 ","$89,494,167 ","$6,581,313 ","$31,084,855 ","$4,862,403 ","$9,200,559 ","$21,669,013 ","$73,398,143 ",2019
Giants,"$28,405,163 ","$8,989,981 ","$16,166,352 ","$8,759,798 ","$26,599,108 ","$88,920,402 ","$7,672,043 ","$10,746,861 ","$14,231,925 ","$8,300,429 ","$5,000,958 ","$45,952,216 ",2019
Vikings,"$29,905,000 ","$4,409,766 ","$22,442,158 ","$6,058,384 ","$24,116,130 ","$86,931,438 ","$15,106,796 ","$23,691,333 ","$12,871,959 ","$15,018,703 ","$27,075,664 ","$93,764,455 ",2019
Rams,"$11,765,577 ","$12,126,193 ","$26,412,655 ","$4,228,642 ","$31,811,467 ","$86,344,534 ","$30,585,660 ","$17,851,822 ","$6,129,397 ","$9,800,904 ","$11,806,937 ","$76,174,720 ",2019
Lions,"$31,930,059 ","$2,307,429 ","$17,465,459 ","$6,730,065 ","$27,129,944 ","$85,562,956 ","$15,087,044 ","$9,609,031 ","$15,306,901 ","$5,017,157 ","$23,637,112 ","$68,657,245 ",2019
Chiefs,"$9,288,808 ","$6,758,058 ","$25,947,032 ","$12,691,900 ","$30,594,087 ","$85,279,885 ","$7,958,341 ","$13,963,072 ","$11,996,608 ","$14,285,030 ","$9,297,683 ","$57,500,734 ",2019
Seahawks,"$26,996,766 ","$5,035,413 ","$12,335,319 ","$6,730,075 ","$34,000,896 ","$85,098,469 ","$5,120,514 ","$21,581,217 ","$27,139,216 ","$10,653,670 ","$4,300,635 ","$68,795,252 ",2019
Falcons,"$18,063,000 ","$9,484,109 ","$15,332,230 ","$5,258,881 ","$36,609,416 ","$84,747,636 ","$17,244,922 ","$10,698,868 ","$21,102,931 ","$10,218,404 ","$17,012,133 ","$76,277,258 ",2019
Eagles,"$14,278,779 ","$5,468,274 ","$19,997,045 ","$7,822,805 ","$36,444,965 ","$84,011,868 ","$17,465,235 ","$11,566,811 ","$7,692,784 ","$20,577,441 ","$9,679,240 ","$66,981,511 ",2019
Patriots,"$22,535,204 ","$12,229,419 ","$18,179,022 ","$2,677,268 ","$23,741,152 ","$79,362,065 ","$6,821,358 ","$10,952,860 ","$19,123,431 ","$27,918,225 ","$18,863,654 ","$83,679,528 ",2019
Jets,"$9,491,711 ","$11,432,801 ","$19,374,147 ","$3,093,662 ","$35,809,241 ","$79,201,562 ","$18,448,512 ","$6,035,480 ","$25,047,180 ","$11,243,424 ","$22,098,745 ","$82,873,341 ",2019
Steelers,"$27,991,392 ","$1,766,913 ","$4,570,576 ","$8,105,668 ","$36,091,768 ","$78,526,317 ","$31,563,825 ","$14,409,336 ","$13,056,501 ","$5,534,972 ","$18,112,322 ","$82,676,956 ",2019
Texans,"$7,833,793 ","$12,744,125 ","$27,327,533 ","$3,376,502 ","$26,680,848 ","$77,962,801 ","$24,929,692 ","$18,363,703 ","$9,961,506 ","$11,103,156 ","$19,735,855 ","$84,093,912 ",2019
Bears,"$14,055,437 ","$1,792,775 ","$28,561,458 ","$12,492,121 ","$19,864,821 ","$76,766,612 ","$18,306,693 ","$19,067,986 ","$16,116,704 ","$5,683,006 ","$30,304,445 ","$89,478,834 ",2019
Cardinals,"$8,296,599 ","$12,140,266 ","$16,674,681 ","$3,588,603 ","$34,014,338 ","$74,714,487 ","$10,667,138 ","$21,964,198 ","$7,709,824 ","$4,786,932 ","$17,466,133 ","$62,594,225 ",2019
Jaguars,"$13,149,963 ","$9,322,496 ","$13,956,013 ","$5,508,925 ","$32,106,212 ","$74,043,609 ","$27,738,114 ","$7,443,609 ","$12,613,248 ","$6,361,198 ","$24,220,950 ","$78,377,119 ",2019
Panthers,"$24,395,545 ","$6,283,177 ","$9,197,102 ","$9,028,498 ","$22,616,326 ","$71,520,648 ","$30,399,334 ","$18,490,862 ","$22,276,998 ","$8,586,514 ","$7,357,669 ","$87,111,377 ",2019
Bills,"$6,713,826 ","$4,562,191 ","$18,785,529 ","$10,198,933 ","$31,194,376 ","$71,454,855 ","$21,159,179 ","$26,135,699 ","$11,160,531 ","$12,774,835 ","$7,549,959 ","$78,780,203 ",2019
Ravens,"$4,187,820 ","$4,647,747 ","$12,405,040 ","$6,811,187 ","$24,600,941 ","$52,652,735 ","$20,449,011 ","$5,276,260 ","$5,177,136 ","$23,587,904 ","$39,039,526 ","$93,529,837 ",2019
Broncos,"$6,936,162 ","$4,939,853 ","$4,509,420 ","$7,329,076 ","$26,251,247 ","$49,965,758 ","$19,079,701 ","$32,887,968 ","$7,052,588 ","$11,185,503 ","$19,461,415 ","$89,667,175 ",2019
Dolphins,"$7,119,898 ","$1,989,719 ","$21,269,506 ","$2,790,180 ","$10,059,484 ","$43,228,787 ","$7,091,738 ","$4,005,733 ","$5,737,573 ","$30,648,047 ","$17,524,815 ","$65,007,906 ",2019
Colts,"$47,105,566 ","$5,629,641 ","$19,415,611 ","$10,806,164 ","$50,913,166 ","$133,870,148 ","$33,864,259 ","$15,097,967 ","$7,983,967 ","$7,437,136 ","$13,393,415 ","$77,776,744 ",2020
Raiders,"$31,625,000 ","$8,300,028 ","$18,214,691 ","$15,657,398 ","$53,138,925 ","$126,936,042 ","$13,236,548 ","$18,222,524 ","$16,390,125 ","$20,138,076 ","$8,384,032 ","$76,371,305 ",2020
Eagles,"$21,452,022 ","$3,762,174 ","$29,943,350 ","$15,435,113 ","$39,993,612 ","$110,586,271 ","$26,475,772 ","$12,152,197 ","$5,348,034 ","$9,032,645 ","$8,624,266 ","$61,632,914 ",2020
Buccaneers,"$27,556,500 ","$6,969,905 ","$14,576,858 ","$19,792,747 ","$40,217,623 ","$109,113,633 ","$20,612,811 ","$29,946,760 ","$19,483,225 ","$4,118,737 ","$6,385,738 ","$80,547,271 ",2020
Titans,"$23,182,000 ","$8,686,298 ","$21,162,541 ","$6,544,772 ","$47,116,265 ","$106,691,876 ","$14,054,420 ","$15,690,717 ","$7,625,164 ","$13,109,660 ","$22,134,071 ","$72,614,032 ",2020
Packers,"$24,645,540 ","$7,058,628 ","$20,521,932 ","$5,301,804 ","$47,239,400 ","$104,767,304 ","$15,375,862 ","$35,768,583 ","$8,225,930 ","$14,695,548 ","$9,592,282 ","$83,658,205 ",2020
Browns,"$11,937,673 ","$6,893,053 ","$33,178,607 ","$8,176,049 ","$40,583,203 ","$100,768,585 ","$17,914,080 ","$26,132,262 ","$6,861,412 ","$9,671,857 ","$18,075,490 ","$78,655,101 ",2020
Cowboys,"$35,728,728 ","$12,355,915 ","$18,148,958 ","$6,554,264 ","$27,902,811 ","$100,690,676 ","$13,356,195 ","$14,629,219 ","$18,552,489 ","$5,243,874 ","$9,660,756 ","$61,442,533 ",2020
Chiefs,"$7,250,503 ","$5,099,201 ","$36,777,928 ","$12,578,400 ","$36,669,047 ","$98,375,079 ","$18,388,976 ","$27,380,548 ","$21,534,268 ","$23,192,615 ","$7,893,856 ","$98,390,263 ",2020
Texans,"$14,334,715 ","$16,353,897 ","$23,107,507 ","$6,027,564 ","$37,592,815 ","$97,416,498 ","$23,019,923 ","$16,478,521 ","$17,873,795 ","$7,768,067 ","$15,354,867 ","$80,495,173 ",2020
Bills,"$8,756,449 ","$5,465,493 ","$34,088,188 ","$10,368,680 ","$38,644,130 ","$97,322,940 ","$21,223,086 ","$31,426,602 ","$16,731,863 ","$16,659,474 ","$20,736,847 ","$106,777,872 ",2020
Seahawks,"$32,063,900 ","$9,951,728 ","$16,222,301 ","$12,094,038 ","$26,646,044 ","$96,978,011 ","$11,979,291 ","$11,274,881 ","$33,886,063 ","$11,699,875 ","$10,554,173 ","$79,394,283 ",2020
