Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Year
Bengals,"$2,881,583 ","$5,750,703 ","$8,730,272 ","$5,005,166 ","$22,390,147 ","$44,757,871 ","$13,979,869 ","$24,778,885 ","$8,370,673 ","$5,834,061 ","$16,118,302 ","$69,081,790 ",2013
Ravens,"$7,381,327 ","$7,936,927 ","$7,986,810 ","$3,966,000 ","$16,354,916 ","$43,625,980 ","$17,275,372 ","$19,320,572 ","$4,593,000 ","$3,813,423 ","$10,949,281 ","$55,951,648 ",2013
Bills,"$4,663,940 ","$8,362,867 ","$8,979,223 ","$4,489,668 ","$14,455,361 ","$40,951,059 ","$16,611,040 ","$13,270,000 ","$5,414,838 ","$10,503,423 ","$7,069,748 ","$52,869,049 ",2013
Dolphins,"$5,859,205 ","$2,412,352 ","$8,242,874 ","$6,007,127 ","$17,575,011 ","$40,096,569 ","$15,944,118 ","$11,848,139 ","$9,006,508 ","$5,027,138 ","$13,351,955 ","$55,177,858 ",2013
Browns,"$4,171,299 ","$2,200,883 ","$5,666,354 ","$2,620,527 ","$23,789,034 ","$38,448,097 ","$19,697,955 ","$14,276,906 ","$7,765,000 ","$2,500,318 ","$10,928,931 ","$55,169,110 ",2013
Raiders,"$1,146,517 ","$11,735,884 ","$4,609,651 ","$1,496,363 ","$10,275,023 ","$29,263,438 ","$5,163,512 ","$2,078,750 ","$6,548,030 ","$6,752,294 ","$6,782,330 ","$27,324,916 ",2013
Falcons,"$18,576,474 ","$6,980,028 ","$17,966,288 ","$1,247,246 ","$26,480,666 ","$71,250,702 ","$14,382,019 ","$9,969,271 ","$7,666,852 ","$7,645,545 ","$5,342,576 ","$45,006,263 ",2014
Broncos,"$18,629,094 ","$2,748,063 ","$18,771,159 ","$3,669,295 ","$25,225,932 ","$69,043,543 ","$7,401,361 ","$18,552,790 ","$3,982,315 ","$7,141,122 ","$15,320,403 ","$52,397,991 ",2014
Saints,"$19,064,118 ","$5,399,617 ","$12,178,739 ","$6,269,241 ","$25,334,966 ","$68,246,681 ","$8,932,135 ","$5,228,215 ","$10,041,920 ","$9,017,368 ","$8,305,918 ","$41,525,556 ",2014
Chargers,"$17,856,766 ","$8,605,886 ","$10,851,816 ","$9,315,091 ","$19,973,727 ","$66,603,286 ","$7,275,737 ","$12,045,271 ","$6,024,227 ","$13,044,216 ","$6,186,511 ","$44,575,962 ",2014
Rams,"$19,930,000 ","$3,635,133 ","$7,489,962 ","$8,642,056 ","$26,264,010 ","$65,961,161 ","$12,047,009 ","$21,708,707 ","$13,272,617 ","$4,207,611 ","$3,599,498 ","$54,835,442 ",2014
Eagles,"$3,772,237 ","$16,415,834 ","$10,693,053 ","$5,720,045 ","$29,339,566 ","$65,940,735 ","$6,088,275 ","$17,791,018 ","$10,285,319 ","$7,603,608 ","$13,632,290 ","$55,400,510 ",2014
Bears,"$19,219,118 ","$9,580,845 ","$12,299,126 ","$7,234,947 ","$16,590,321 ","$64,924,357 ","$4,235,688 ","$14,352,349 ","$10,686,451 ","$4,434,278 ","$11,742,197 ","$45,450,963 ",2014
Dolphins,"$9,024,346 ","$5,275,190 ","$28,597,229 ","$2,453,213 ","$19,150,146 ","$64,500,124 ","$8,558,325 ","$16,269,884 ","$19,901,899 ","$7,286,117 ","$12,603,136 ","$64,619,361 ",2014
Vikings,"$10,278,077 ","$13,954,903 ","$10,289,462 ","$3,870,027 ","$24,118,962 ","$62,511,431 ","$9,823,887 ","$16,318,199 ","$13,041,933 ","$3,934,664 ","$7,924,243 ","$51,042,926 ",2014
Texans,"$4,907,663 ","$9,457,433 ","$19,869,037 ","$4,412,445 ","$22,861,050 ","$61,507,628 ","$8,117,519 ","$8,070,107 ","$8,574,142 ","$3,124,451 ","$17,795,552 ","$45,681,771 ",2014
49ers,"$6,114,325 ","$8,372,771 ","$14,014,025 ","$9,364,040 ","$22,908,605 ","$60,773,766 ","$14,858,320 ","$9,959,422 ","$14,238,165 ","$7,042,189 ","$7,623,157 ","$53,721,253 ",2014
Giants,"$21,008,400 ","$5,120,134 ","$12,922,572 ","$2,083,825 ","$19,002,962 ","$60,137,893 ","$6,171,260 ","$6,942,313 ","$14,546,482 ","$14,367,378 ","$11,998,314 ","$54,025,747 ",2014
Lions,"$17,031,668 ","$6,083,043 ","$18,606,777 ","$5,509,002 ","$11,871,158 ","$59,101,648 ","$27,994,602 ","$10,114,648 ","$13,479,446 ","$5,342,000 ","$4,023,173 ","$60,953,869 ",2014
Commanders,"$7,082,926 ","$2,678,257 ","$18,448,822 ","$3,831,981 ","$26,783,400 ","$58,825,386 ","$22,282,539 ","$15,092,287 ","$5,082,772 ","$3,143,824 ","$7,461,353 ","$53,062,775 ",2014
Jets,"$5,402,878 ","$6,138,225 ","$15,118,083 ","$3,321,133 ","$27,006,154 ","$56,986,473 ","$7,501,734 ","$7,897,645 ","$9,264,790 ","$4,571,367 ","$7,604,495 ","$36,840,031 ",2014
Titans,"$6,035,575 ","$6,896,110 ","$9,394,069 ","$8,033,603 ","$26,321,377 ","$56,680,734 ","$14,188,978 ","$9,059,903 ","$6,628,324 ","$14,007,775 ","$10,683,260 ","$54,568,240 ",2014
Patriots,"$15,446,036 ","$4,537,291 ","$13,923,556 ","$7,369,559 ","$15,395,126 ","$56,671,568 ","$10,516,902 ","$5,631,786 ","$12,844,605 ","$8,593,385 ","$15,181,481 ","$52,768,159 ",2014
Chiefs,"$8,786,939 ","$11,495,196 ","$17,692,219 ","$6,165,390 ","$12,179,435 ","$56,319,179 ","$14,297,941 ","$16,416,918 ","$7,815,650 ","$14,822,053 ","$8,579,227 ","$61,931,789 ",2014
Steelers,"$21,333,138 ","$1,669,039 ","$7,942,649 ","$7,847,766 ","$14,731,514 ","$53,524,106 ","$9,360,367 ","$13,428,435 ","$15,222,160 ","$10,751,868 ","$13,352,245 ","$62,115,075 ",2014
Bengals,"$10,928,123 ","$3,654,864 ","$10,856,116 ","$8,253,862 ","$19,718,975 ","$53,411,940 ","$16,160,671 ","$14,597,786 ","$13,702,366 ","$6,534,061 ","$17,739,200 ","$68,734,084 ",2014
Packers,"$19,273,750 ","$2,878,903 ","$9,395,943 ","$2,464,445 ","$18,882,444 ","$52,895,485 ","$7,465,236 ","$23,761,153 ","$11,140,825 ","$7,570,989 ","$19,240,070 ","$69,178,273 ",2014
Cowboys,"$12,764,666 ","$2,815,945 ","$5,655,361 ","$9,965,144 ","$21,402,763 ","$52,603,879 ","$5,927,135 ","$5,288,895 ","$10,078,315 ","$4,115,045 ","$21,287,488 ","$46,696,878 ",2014
Cardinals,"$16,676,701 ","$2,653,397 ","$14,667,325 ","$4,410,632 ","$13,774,076 ","$52,182,131 ","$25,825,251 ","$9,394,096 ","$6,943,566 ","$3,473,804 ","$16,867,423 ","$62,504,140 ",2014
Buccaneers,"$5,512,169 ","$3,929,661 ","$17,087,432 ","$4,133,809 ","$20,487,478 ","$51,150,549 ","$26,581,339 ","$14,179,861 ","$4,809,468 ","$10,665,150 ","$12,689,893 ","$68,925,711 ",2014
Jaguars,"$9,554,830 ","$6,308,882 ","$8,703,307 ","$10,592,682 ","$15,825,958 ","$50,985,659 ","$11,745,833 ","$17,144,223 ","$13,828,131 ","$2,960,477 ","$4,986,002 ","$50,664,666 ",2014
Panthers,"$8,743,113 ","$11,891,700 ","$4,162,200 ","$9,273,200 ","$16,431,582 ","$50,501,795 ","$6,505,547 ","$26,696,480 ","$9,299,071 ","$4,944,876 ","$1,839,412 ","$49,285,386 ",2014
Browns,"$2,807,980 ","$1,529,301 ","$10,771,737 ","$4,683,350 ","$30,648,671 ","$50,441,039 ","$17,269,848 ","$13,935,899 ","$7,257,125 ","$6,699,334 ","$17,398,562 ","$62,560,768 ",2014
Seahawks,"$2,227,438 ","$9,949,013 ","$6,213,265 ","$7,351,109 ","$23,339,609 ","$49,080,434 ","$11,876,832 ","$14,437,175 ","$11,003,673 ","$14,824,595 ","$6,488,073 ","$58,630,348 ",2014
Ravens,"$15,578,427 ","$1,891,185 ","$6,901,832 ","$4,991,340 ","$17,657,641 ","$47,020,425 ","$21,184,683 ","$14,137,592 ","$5,493,818 ","$5,389,608 ","$11,857,910 ","$58,063,611 ",2014
